session_id,Admin_Unit_Code,park_name,habitat,is_shared_park,Plot_Name,Site_Name,Date,Visit,Observer,month,month_name,week,day_of_season,start_hour,time_band,session_duration_min,Temperature,Humidity,temp_band,humidity_band,Sky,Wind,Disturbance,species_per_session,sightings_per_session,at_risk_sightings,flyovers,pct_at_risk_per_session,has_at_risk
ANTI-0007|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0007,,2018-05-23,1,Elizabeth Oswald,2018-05,May,21,16,8,Mid (7-8am),10.0,26.7999992370605,61.2999992370605,25-30C,60-80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,15,17,0,1,0.0,False
ANTI-0007|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0007,,2018-06-25,2,Kimberly Serno,2018-06,June,26,49,6,Early (5-6am),10.0,22.0,73.4000015258789,20-25C,60-80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,12,14,0,0,0.0,False
ANTI-0007|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0007,,2018-07-16,3,Brian Swimelar,2018-07,July,29,70,8,Mid (7-8am),10.0,29.0,70.0,25-30C,60-80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,Serious effect on count,9,11,0,1,0.0,False
ANTI-0008|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0008,,2018-05-23,1,Elizabeth Oswald,2018-05,May,21,16,7,Mid (7-8am),10.0,23.8999996185303,74.1999969482422,20-25C,60-80%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Slight effect on count,15,17,0,1,0.0,False
ANTI-0008|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0008,,2018-06-25,2,Kimberly Serno,2018-06,June,26,49,6,Early (5-6am),10.0,22.5,73.0,20-25C,60-80%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Slight effect on count,9,12,0,0,0.0,False
ANTI-0008|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0008,,2018-07-16,3,Brian Swimelar,2018-07,July,29,70,7,Mid (7-8am),10.0,28.1000003814697,70.8000030517578,25-30C,60-80%,Partly Cloudy,Calm (< 1 mph) smoke rises vertically,No effect on count,8,11,0,1,0.0,False
ANTI-0009|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0009,,2018-05-23,1,Elizabeth Oswald,2018-05,May,21,16,7,Mid (7-8am),10.0,21.2000007629395,82.8000030517578,20-25C,>80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,No effect on count,15,15,0,0,0.0,False
ANTI-0009|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0009,,2018-06-25,2,Kimberly Serno,2018-06,June,26,49,6,Early (5-6am),10.0,23.2999992370605,72.1999969482422,20-25C,60-80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,12,15,0,0,0.0,False
ANTI-0009|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0009,,2018-07-16,3,Brian Swimelar,2018-07,July,29,70,7,Mid (7-8am),10.0,25.3999996185303,76.4000015258789,25-30C,60-80%,Partly Cloudy,Calm (< 1 mph) smoke rises vertically,No effect on count,10,11,0,2,0.0,False
ANTI-0015|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0015,,2018-05-23,1,Elizabeth Oswald,2018-05,May,21,16,7,Mid (7-8am),10.0,25.2000007629395,56.0,25-30C,40-60%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,16,18,0,3,0.0,False
ANTI-0015|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0015,,2018-06-25,2,Kimberly Serno,2018-06,June,26,49,6,Early (5-6am),10.0,22.1000003814697,74.4000015258789,20-25C,60-80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,11,15,0,2,0.0,False
ANTI-0015|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0015,,2018-07-16,3,Brian Swimelar,2018-07,July,29,70,7,Mid (7-8am),10.0,28.7000007629395,82.6999969482422,25-30C,>80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,7,8,0,0,0.0,False
ANTI-0016|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0016,,2018-05-23,1,Elizabeth Oswald,2018-05,May,21,16,7,Mid (7-8am),10.0,23.5,56.2000007629395,20-25C,40-60%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,No effect on count,15,17,0,2,0.0,False
ANTI-0016|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0016,,2018-06-25,2,Kimberly Serno,2018-06,June,26,49,9,Late (9-10am),10.0,29.2000007629395,56.5999984741211,25-30C,40-60%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Slight effect on count,12,18,0,1,0.0,False
ANTI-0016|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0016,,2018-07-16,3,Brian Swimelar,2018-07,July,29,70,7,Mid (7-8am),10.0,27.7000007629395,82.6999969482422,25-30C,>80%,Partly Cloudy,Calm (< 1 mph) smoke rises vertically,No effect on count,10,14,0,0,0.0,False
ANTI-0017|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0017,,2018-05-23,1,Elizabeth Oswald,2018-05,May,21,16,6,Early (5-6am),10.0,22.0,77.5,20-25C,60-80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,No effect on count,11,15,0,2,0.0,False
ANTI-0017|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0017,,2018-06-25,2,Kimberly Serno,2018-06,June,26,49,8,Mid (7-8am),10.0,25.0,69.0,20-25C,60-80%,Partly Cloudy,"Gentle breeze (8-12 mph), leaves in motion",Slight effect on count,13,17,0,0,0.0,False
ANTI-0017|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0017,,2018-07-16,3,Brian Swimelar,2018-07,July,29,70,6,Early (5-6am),10.0,26.0,71.8000030517578,25-30C,60-80%,Partly Cloudy,Calm (< 1 mph) smoke rises vertically,No effect on count,10,12,0,1,0.0,False
ANTI-0018|2018-05-22|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0018,,2018-05-22,1,Elizabeth Oswald,2018-05,May,21,15,7,Mid (7-8am),10.0,20.2000007629395,84.4000015258789,20-25C,>80%,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,Slight effect on count,12,13,1,1,7.69,True
ANTI-0018|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0018,,2018-06-25,2,Kimberly Serno,2018-06,June,26,49,7,Mid (7-8am),10.0,22.0,76.3000030517578,20-25C,60-80%,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,14,17,0,2,0.0,False
ANTI-0018|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0018,,2018-07-16,3,Brian Swimelar,2018-07,July,29,70,6,Early (5-6am),10.0,22.1000003814697,81.6999969482422,20-25C,>80%,Partly Cloudy,Calm (< 1 mph) smoke rises vertically,No effect on count,6,9,0,0,0.0,False
ANTI-0025|2018-05-23|V1,ANTI,Antietam National Battlefield,Forest,True,ANTI-0025,ANTI 1,2018-05-23,1,Elizabeth Oswald,2018-05,May,21,16,8,Mid (7-8am),10.0,28.5,66.0,25-30C,60-80%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,8,8,0,2,0.0,False
ANTI-0025|2018-06-25|V2,ANTI,Antietam National Battlefield,Forest,True,ANTI-0025,ANTI 1,2018-06-25,2,Kimberly Serno,2018-06,June,26,49,5,Early (5-6am),10.0,22.8999996185303,68.0999984741211,20-25C,60-80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,8,14,0,1,0.0,False
ANTI-0026|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0026,,2018-05-23,1,Elizabeth Oswald,2018-05,May,21,16,6,Early (5-6am),10.0,21.5,84.8000030517578,20-25C,>80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,No effect on count,14,16,0,2,0.0,False
ANTI-0026|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0026,,2018-06-25,2,Kimberly Serno,2018-06,June,26,49,9,Late (9-10am),10.0,30.7000007629395,54.5,>30C,40-60%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Slight effect on count,7,8,0,0,0.0,False
ANTI-0026|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0026,,2018-07-16,3,Brian Swimelar,2018-07,July,29,70,5,Early (5-6am),10.0,23.3999996185303,72.6999969482422,20-25C,60-80%,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,No effect on count,7,9,0,0,0.0,False
ANTI-0027|2018-05-22|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0027,,2018-05-22,1,Elizabeth Oswald,2018-05,May,21,15,6,Early (5-6am),10.0,20.2000007629395,79.5,20-25C,60-80%,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,12,15,0,1,0.0,False
ANTI-0027|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0027,,2018-06-25,2,Kimberly Serno,2018-06,June,26,49,8,Mid (7-8am),10.0,23.2000007629395,79.4000015258789,20-25C,60-80%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Slight effect on count,12,16,0,1,0.0,False
ANTI-0027|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0027,,2018-07-16,3,Brian Swimelar,2018-07,July,29,70,5,Early (5-6am),10.0,25.7999992370605,66.0,25-30C,60-80%,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,No effect on count,7,9,0,0,0.0,False
ANTI-0028|2018-05-22|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0028,,2018-05-22,1,Elizabeth Oswald,2018-05,May,21,15,6,Early (5-6am),10.0,19.7999992370605,80.3000030517578,15-20C,>80%,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,17,20,0,2,0.0,False
ANTI-0028|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0028,,2018-06-25,2,Kimberly Serno,2018-06,June,26,49,7,Mid (7-8am),10.0,22.0,77.6999969482422,20-25C,60-80%,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,No effect on count,12,17,0,0,0.0,False
ANTI-0028|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0028,,2018-07-16,3,Brian Swimelar,2018-07,July,29,70,6,Early (5-6am),10.0,23.1000003814697,64.5999984741211,20-25C,60-80%,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,12,15,0,0,0.0,False
ANTI-0034|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0034,,2018-05-23,1,Elizabeth Oswald,2018-05,May,21,16,8,Mid (7-8am),10.0,26.5,59.5,25-30C,40-60%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Slight effect on count,21,23,0,0,0.0,False
ANTI-0034|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0034,,2018-06-25,2,Kimberly Serno,2018-06,June,26,49,9,Late (9-10am),10.0,34.5999984741211,43.9000015258789,>30C,40-60%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,11,17,0,2,0.0,False
ANTI-0034|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0034,,2018-07-16,3,Brian Swimelar,2018-07,July,29,70,8,Mid (7-8am),10.0,27.3999996185303,81.1999969482422,25-30C,>80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,7,8,0,0,0.0,False
ANTI-0035|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0035,,2018-05-23,1,Elizabeth Oswald,2018-05,May,21,16,6,Early (5-6am),10.0,20.6000003814697,80.9000015258789,20-25C,>80%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Slight effect on count,12,13,0,2,0.0,False
ANTI-0035|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0035,,2018-06-25,2,Kimberly Serno,2018-06,June,26,49,10,Late (9-10am),10.0,32.4000015258789,33.9000015258789,>30C,<40%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Slight effect on count,9,12,0,0,0.0,False
ANTI-0035|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0035,,2018-07-16,3,Brian Swimelar,2018-07,July,29,70,8,Mid (7-8am),10.0,26.3999996185303,81.1999969482422,25-30C,>80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,4,4,0,1,0.0,False
ANTI-0036|2018-05-22|V1,ANTI,Antietam National Battlefield,Forest,True,ANTI-0036,ANTI 1,2018-05-22,1,Elizabeth Oswald,2018-05,May,21,15,6,Early (5-6am),10.0,19.8999996185303,79.4000015258789,15-20C,60-80%,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,16,19,0,0,0.0,False
