Scientific_Name,Common_Name,AOU_Code,is_at_risk,forest_sightings,grassland_sightings,total_sightings,grassland_share_pct,well_sampled,specialist_class
Cardinalis cardinalis,Northern Cardinal,NOCA,False,133,530,663,79.9,True,Generalist
Passerina cyanea,Indigo Bunting,INBU,False,58,461,519,88.8,True,Generalist
Thryothorus ludovicianus,Carolina Wren,CARW,False,145,347,492,70.5,True,Generalist
Spizella pusilla,Field Sparrow,FISP,False,29,456,485,94.0,True,Grassland specialist
Spizella passerina,Chipping Sparrow,CHSP,False,21,353,374,94.4,True,Grassland specialist
Ammodramus savannarum,Grasshopper Sparrow,GRSP,False,5,346,351,98.6,True,Grassland specialist
Carduelis tristis,American Goldfinch,AMGO,False,38,310,348,89.1,True,Generalist
Agelaius phoeniceus,Red-winged Blackbird,RWBL,False,8,273,281,97.2,True,Grassland specialist
Baeolophus bicolor,Eastern Tufted Titmouse,ETTI,False,93,179,272,65.8,True,Generalist
Turdus migratorius,American Robin,AMRO,False,59,176,235,74.9,True,Generalist
Zenaida macroura,Mourning Dove,MODO,False,32,197,229,86.0,True,Generalist
Melospiza melodia,Song Sparrow,SOSP,False,6,222,228,97.4,True,Grassland specialist
Molothrus ater,Brown-headed Cowbird,BHCO,False,32,193,225,85.8,True,Generalist
Pipilo erythrophthalmus,Eastern Towhee,EATO,False,39,159,198,80.3,True,Generalist
Contopus virens,Eastern Wood-Pewee,EAWP,False,97,88,185,47.6,True,Generalist
Corvus brachyrhynchos,American Crow,AMCR,False,39,137,176,77.8,True,Generalist
Sturnella magna,Eastern Meadowlark,EAME,False,6,170,176,96.6,True,Grassland specialist
Sialia sialis,Eastern Bluebird,EABL,False,6,167,173,96.5,True,Grassland specialist
Melanerpes carolinus,Red-bellied Woodpecker,RBWO,False,68,91,159,57.2,True,Generalist
Cyanocitta cristata,Blue Jay,BLJA,False,31,119,150,79.3,True,Generalist
Poecile carolinensis,Carolina Chickadee,CACH,False,53,93,146,63.7,True,Generalist
Polioptila caerulea,Blue-gray Gnatcatcher,BGGN,False,47,94,141,66.7,True,Generalist
Mimus polyglottos,Northern Mockingbird,NOMO,False,6,130,136,95.6,True,Grassland specialist
Hirundo rustica,Barn Swallow,BARS,False,2,130,132,98.5,True,Grassland specialist
Vireo olivaceus,Red-eyed Vireo,REVI,False,80,44,124,35.5,True,Generalist
Quiscalus quiscula,Common Grackle,COGR,False,15,107,122,87.7,True,Generalist
Geothlypis trichas,Common Yellowthroat,COYE,False,12,101,113,89.4,True,Generalist
Myiarchus crinitus,Great Crested Flycatcher,GCFL,False,38,68,106,64.2,True,Generalist
Picoides pubescens,Downy Woodpecker,DOWO,False,44,52,96,54.2,True,Generalist
Dumetella carolinensis,Gray Catbird,GRCA,False,10,73,83,88.0,True,Generalist
Sturnus vulgaris,European Starling,EUST,False,1,81,82,98.8,True,Grassland specialist
Bombycilla cedrorum,Cedar Waxwing,CEDW,False,15,62,77,80.5,True,Generalist
