Admin_Unit_Code,park_name,latitude,longitude,precision
ANTI,Antietam National Battlefield,39.4676,-77.7411,compact
CATO,Catoctin Mountain Park,39.6338,-77.4491,compact
CHOH,Chesapeake & Ohio Canal National Historical Park,39.0,-77.25,very approximate - 184-mile linear park
GWMP,George Washington Memorial Parkway,38.8977,-77.0708,approximate - linear parkway
HAFE,Harpers Ferry National Historical Park,39.3251,-77.7386,compact
MANA,Manassas National Battlefield Park,38.8118,-77.5216,compact
MONO,Monocacy National Battlefield,39.3712,-77.3936,compact
NACE,National Capital East Parks,38.86,-76.98,very approximate - scattered sites
PRWI,Prince William Forest Park,38.5843,-77.3405,compact
ROCR,Rock Creek Park,38.96,-77.05,approximate - linear park
WOTR,Wolf Trap National Park for the Performing Arts,38.9385,-77.2647,compact
